rank,skill_id,skill_name,category,level,predicted_mastery,foundational_weight,priority_score,reason
1,SK067,Analyze Author's Purpose,Rhetoric,Basic,64.8,1.0,35.2,Predicted 65% mastery on untested basic rhetoric skill; foundational weight 1.0.
2,SK066,Identify Rhetorical Situation,Rhetoric,Basic,65.2,1.0,34.8,Predicted 65% mastery on untested basic rhetoric skill; foundational weight 1.0.
3,SK035,Comma Usage with Clauses,Grammar,Basic,65.9,1.0,34.1,Predicted 66% mastery on untested basic grammar skill; foundational weight 1.0.
4,SK048,Distinguish Denotation and Connotation,Vocabulary,Basic,66.2,1.0,33.8,Predicted 66% mastery on untested basic vocabulary skill; foundational weight 1.0.
5,SK056,Sentence Combination,Writing,Basic,66.5,1.0,33.5,Predicted 67% mastery on untested basic writing skill; foundational weight 1.0.
6,SK001,Identify Central Claim / Thesis,Reading,Basic,67.3,1.0,32.7,Predicted 67% mastery on untested basic reading skill; foundational weight 1.0.
7,SK004,Summarize Passage Main Points,Reading,Basic,68.1,1.0,31.9,Predicted 68% mastery on untested basic reading skill; foundational weight 1.0.
8,SK031,Subject-Verb Agreement,Grammar,Basic,68.8,1.0,31.2,Predicted 69% mastery on untested basic grammar skill; foundational weight 1.0.
9,SK034,Sentence Boundaries (Fragments/Run-ons),Grammar,Basic,70.9,1.0,29.1,Predicted 71% mastery on untested basic grammar skill; foundational weight 1.0.
10,SK069,Analyze Structure and Function,Rhetoric,Intermediate,63.4,0.75,27.4,Predicted 63% mastery on untested intermediate rhetoric skill; foundational weight 0.8.
11,SK026,Identify Evidence Gaps,Evidence,Intermediate,64.7,0.75,26.5,Predicted 65% mastery on untested intermediate evidence skill; foundational weight 0.8.
12,SK061,Effective Conclusions,Writing,Intermediate,64.8,0.75,26.4,Predicted 65% mastery on untested intermediate writing skill; foundational weight 0.8.
13,SK039,Punctuation with Introductory Elements,Grammar,Intermediate,65.5,0.75,25.9,Predicted 65% mastery on untested intermediate grammar skill; foundational weight 0.8.
14,SK059,Organization of Ideas,Writing,Intermediate,66.3,0.75,25.3,Predicted 66% mastery on untested intermediate writing skill; foundational weight 0.8.
15,SK008,Draw Logical Inferences,Reading,Intermediate,66.3,0.75,25.3,Predicted 66% mastery on untested intermediate reading skill; foundational weight 0.8.
16,SK041,Dangling and Misplaced Modifiers,Grammar,Intermediate,66.4,0.75,25.2,Predicted 66% mastery on untested intermediate grammar skill; foundational weight 0.8.
17,SK050,Precision in Word Selection,Vocabulary,Intermediate,66.7,0.75,25.0,Predicted 67% mastery on untested intermediate vocabulary skill; foundational weight 0.8.
18,SK011,Interpret Figurative Language,Reading,Intermediate,66.7,0.75,25.0,Predicted 67% mastery on untested intermediate reading skill; foundational weight 0.8.
19,SK005,Understand Author's Tone,Reading,Intermediate,67.1,0.75,24.6,Predicted 67% mastery on untested intermediate reading skill; foundational weight 0.8.
20,SK010,Predict Author Response,Reading,Intermediate,68.5,0.75,23.6,Predicted 69% mastery on untested intermediate reading skill; foundational weight 0.8.
21,SK049,Analyze Word Choice Effects,Vocabulary,Intermediate,70.0,0.75,22.5,Predicted 70% mastery on untested intermediate vocabulary skill; foundational weight 0.8.
22,SK016,Analyze Chronological Structure,Reading,Advanced,61.5,0.45,17.3,Predicted 62% mastery on untested advanced reading skill; foundational weight 0.5.
23,SK028,Weaken Arguments via Counterevidence,Evidence,Advanced,62.6,0.45,16.8,Predicted 63% mastery on untested advanced evidence skill; foundational weight 0.5.
24,SK030,Evaluate Statistical Claims in Passages,Evidence,Advanced,62.9,0.45,16.7,Predicted 63% mastery on untested advanced evidence skill; foundational weight 0.5.
25,SK071,Evaluate Audience Awareness,Rhetoric,Advanced,63.3,0.45,16.5,Predicted 63% mastery on untested advanced rhetoric skill; foundational weight 0.5.
26,SK054,Academic Vocabulary in Arguments,Vocabulary,Advanced,64.8,0.45,15.8,Predicted 65% mastery on untested advanced vocabulary skill; foundational weight 0.5.
27,SK045,Complex Sentence Revision,Grammar,Advanced,65.3,0.45,15.6,Predicted 65% mastery on untested advanced grammar skill; foundational weight 0.5.
28,SK042,Idiom and Preposition Usage,Grammar,Advanced,65.7,0.45,15.4,Predicted 66% mastery on untested advanced grammar skill; foundational weight 0.5.
29,SK014,Synthesize Multi-Paragraph Ideas,Reading,Advanced,66.0,0.45,15.3,Predicted 66% mastery on untested advanced reading skill; foundational weight 0.5.
