rank,skill_id,skill_name,category,level,predicted_mastery,foundational_weight,priority_score,reason
1,SK002,Locate Explicit Details,Reading,Basic,42.4,1.0,57.6,"Predicted 42% on untested basic reading skill; Blended k-NN (35%) and related-skill propagation (61%). Observed weakness in Determine Paragraph Purpose (0/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
2,SK066,Identify Rhetorical Situation,Rhetoric,Basic,44.5,1.0,55.5,"Predicted 45% on untested basic rhetoric skill; Blended k-NN (38%) and related-skill propagation (60%). Observed weakness in Determine Paragraph Purpose (0/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
3,SK006,Track Argument Development,Reading,Intermediate,42.8,0.75,42.9,"Predicted 43% on untested intermediate reading skill; Blended k-NN (38%) and related-skill propagation (54%). Observed weakness in Determine Paragraph Purpose (0/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
4,SK033,Verb Tense Consistency,Grammar,Basic,57.1,1.0,42.9,"Predicted 57% on untested basic grammar skill; Blended k-NN (53%) and related-skill propagation (67%). Observed weakness in Determine Paragraph Purpose (0/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
5,SK004,Summarize Passage Main Points,Reading,Basic,66.1,1.0,33.9,"Predicted 66% on untested basic reading skill; Blended k-NN (69%) and related-skill propagation (59%). Observed weakness in Determine Paragraph Purpose (0/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
6,SK032,Pronoun-Antecedent Agreement,Grammar,Basic,66.4,1.0,33.6,"Predicted 66% on untested basic grammar skill; Blended k-NN (67%) and related-skill propagation (66%). Observed weakness in Determine Paragraph Purpose (0/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
7,SK048,Distinguish Denotation and Connotation,Vocabulary,Basic,67.9,1.0,32.1,"Predicted 68% on untested basic vocabulary skill; Blended k-NN (67%) and related-skill propagation (71%). Observed weakness in Determine Paragraph Purpose (0/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
8,SK022,Command of Evidence (Textual),Evidence,Intermediate,59.5,0.75,30.4,"Predicted 59% on untested intermediate evidence skill; Blended k-NN (64%) and related-skill propagation (48%). Observed weakness in Determine Paragraph Purpose (0/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
9,SK060,Effective Introductions,Writing,Intermediate,60.6,0.75,29.6,"Predicted 61% on untested intermediate writing skill; Blended k-NN (64%) and related-skill propagation (52%). Observed weakness in Determine Paragraph Purpose (0/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
10,SK023,Compare Quantitative and Textual Data,Evidence,Intermediate,60.9,0.75,29.3,"Predicted 61% on untested intermediate evidence skill; Blended k-NN (65%) and related-skill propagation (51%). Observed weakness in Determine Paragraph Purpose (0/3 correct). Similar students with overlapping Evidence, Grammar, Reading, Rhetoric, Vocabulary, Writing skills also struggled here."
